Site,Obs_H,Exp_H,90_low,Ne,90_high
CP,0.27638716,0.21306484,182.45,261.34,374.34
FP,0.28067548,0.21809314,157.33,215.97,296.46
AP,0.30128883,0.23118993,132.14,215.57,351.67
LR,0.27790777,0.21425261,534.36,995,1852.72
SQ,0.29742919,0.23019886,104.94,163.84,255.79
OR,0.29486377,0.2287298,180.74,276.52,423.07
NI,0.32089027,0.23905618,152.47,224.18,329.61
