Site,Lat,Long,Cluster1,Cluster2,Cluster3
Adam's Point,-70.8659,43.097,0.035595778,0.840354778,0.1240495
Nannie Island,-70.86365,43.06843,0.071443792,0.040625542,0.887930625
Fox Point Farm,-70.8557,43.1165,0.778580296,0.068782074,0.152637593
Cedar Point Farm,-70.863,43.128,0.746929333,0.065422704,0.187647889
Squamscott River,-70.913,43.055,0.031628,0.917060211,0.051311842
Lamprey River,-70.91,43.067,0.062694615,0.927593654,0.009711731
Oyster River,-70.89,43.13,0.0490575,0.936127,0.014815545
